T,p,q
1633699802,144.12,2
1633699804,144.11,1
1633699816,144.05,7
1633699829,143.85,1
1633699829,143.85,2
1633699834,143.77,6
1633699834,143.77,5
1633699838,143.82,2
1633699839,143.82,1
1633699843,143.83,2
1633699846,143.74,4
1633699846,143.74,3
1633699847,143.74,5
1633699850,143.64,5
1633699855,143.53,2
1633699864,143.57,1
1633699866,143.6,20
1633699868,143.64,2
1633699869,143.63,2
1633699873,143.57,1
1633699875,143.54,2
1633699876,143.53,1
1633699877,143.54,5
1633699882,143.57,1
1633699883,143.57,3
1633699884,143.51,6
1633699885,143.51,1
1633699889,143.63,2
1633699890,143.66,1
1633699891,143.7,1
1633699892,143.72,10
1633699894,143.73,5
1633699896,143.75,1
1633699899,143.71,2
1633699909,143.68,1
1633699912,143.74,1
1633699914,143.73,30
1633699916,143.77,1
1633699918,143.71,1
1633699920,143.8,5
1633699922,143.76,1
1633699925,143.6,8
1633699927,143.59,2
1633699929,143.63,3
1633699930,143.62,3
1633699937,143.7,1
1633699943,143.83,4
1633699945,143.85,10
1633699949,143.84,1
1633699951,143.79,2
1633699958,143.82,1
1633699959,143.83,1
1633699965,143.85,1
1633699966,143.84,2
1633699967,143.84,1
1633699971,143.84,4
1633699971,143.84,1
1633699978,143.85,5
1633699981,143.83,2
1633699983,143.74,1
1633699985,143.74,1
1633699991,143.86,2
1633699993,143.87,5
1633699999,143.88,1
1633700001,143.86,2
1633700007,143.9,7
1633700008,143.9,2
1633700010,143.9,3
1633700011,143.92,3
1633700021,143.79,7
1633700025,143.84,17
1633700026,143.84,1
1633700030,143.82,1
1633700034,143.77,1
1633700034,143.77,2
1633700039,143.71,2
1633700040,143.71,3
1633700042,143.66,1
1633700042,143.66,1
1633700044,143.6,3
1633700044,143.6,2
1633700048,143.66,5
1633700055,143.6,3
1633700055,143.6,40
1633700059,143.61,2
1633700069,143.46,2
1633700073,143.49,1
1633700075,143.52,1
1633700082,143.52,1
1633700083,143.53,5
1633700083,143.53,2
1633700090,143.44,5
1633700093,143.39,5
1633700094,143.4,1
1633700094,143.4,2
1633700097,143.41,1
1633700098,143.37,1
1633700100,143.37,1
1633700103,143.41,2
1633700110,143.41,1
1633700114,143.4,2
1633700115,143.38,1
1633700115,143.38,10
1633700119,143.49,1
1633700127,143.49,1
1633700134,143.41,2
1633700135,143.37,10
1633700138,143.33,10
1633700139,143.32,1
1633700140,143.31,1
1633700143,143.3,5
1633700150,143.31,1
1633700152,143.27,5
1633700152,143.27,1
1633700153,143.27,2
1633700154,143.24,1
1633700154,143.24,2
1633700156,143.24,1
1633700157,143.23,1
1633700159,143.23,1
1633700160,143.25,1
1633700167,143.29,5
1633700170,143.28,2
1633700171,143.29,1
1633700172,143.29,5
1633700175,143.29,2
1633700180,143.25,2
1633700182,143.21,10
1633700184,143.27,5
1633700185,143.27,1
1633700190,143.23,2
1633700192,143.23,1
1633700193,143.21,4
1633700200,143.24,1
1633700203,143.22,1
1633700203,143.22,2
1633700204,143.24,2
1633700207,143.16,2
1633700208,143.15,2
1633700210,143.18,10
1633700211,143.18,2
1633700219,143.17,2
1633700221,143.17,2
1633700224,143.18,3
1633700227,143.17,2
1633700228,143.16,1
1633700242,143.2,2
1633700248,143.21,5
1633700249,143.21,1
1633700250,143.2,1
1633700256,143.24,5
1633700257,143.23,1
1633700259,143.21,5
1633700264,143.21,1
1633700266,143.2,1
1633700270,143.13,1
1633700273,143.16,6
1633700285,143.25,2
1633700285,143.25,1
1633700295,143.23,1
1633700299,143.21,1
1633700302,143.24,3
1633700305,143.24,3
1633700311,143.22,3
1633700317,143.25,1
1633700319,143.24,5
1633700319,143.24,1
1633700325,143.21,1
1633700335,143.14,4
1633700338,143.16,1
1633700339,143.19,1
1633700343,143.21,2
1633700348,143.24,4
1633700351,143.19,2
1633700356,143.26,15
1633700357,143.26,1
1633700360,143.28,5
1633700363,143.26,2
1633700367,143.27,1
1633700370,143.3,1
1633700375,143.32,2
1633700379,143.36,5
1633700383,143.38,1
1633700386,143.35,5
1633700387,143.35,4
1633700387,143.35,3
1633700397,143.24,2
1633700397,143.24,1
1633700398,143.24,2
1633700399,143.29,2
1633700400,143.35,1
1633700402,143.35,2
1633700404,143.27,3
1633700404,143.27,2
1633700405,143.26,1
1633700407,143.25,8
1633700407,143.25,1
1633700410,143.26,2
1633700411,143.27,2
1633700415,143.3,12
1633700417,143.32,3
1633700421,143.32,1
1633700421,143.34,1
1633700424,143.35,13
1633700425,143.34,1
1633700428,143.35,2
1633700430,143.37,2
1633700432,143.37,4
1633700433,143.37,2
1633700434,143.38,1
1633700437,143.39,2
1633700438,143.4,2
1633700441,143.4,1
1633700447,143.45,1
1633700449,143.43,9
1633700452,143.46,2
1633700453,143.46,12
1633700456,143.45,3
1633700458,143.45,2
1633700458,143.43,1
1633700459,143.43,5
1633700462,143.45,2
1633700462,143.45,1
1633700464,143.4,2
1633700474,143.44,4
1633700477,143.45,1
1633700479,143.48,3
1633700487,143.53,1
1633700500,143.57,4
1633700504,143.64,1
1633700505,143.65,1
1633700505,143.65,15
1633700509,143.65,1
1633700517,143.62,3
1633700518,143.61,5
1633700520,143.66,1
1633700523,143.65,1
1633700523,143.65,5
1633700525,143.71,1
1633700529,143.68,13
1633700529,143.68,1
1633700531,143.69,1
1633700533,143.73,1
1633700534,143.74,1
1633700535,143.74,2
1633700540,143.71,1
1633700543,143.7,1
1633700548,143.69,14
1633700550,143.71,5
1633700551,143.7,1
1633700552,143.68,10
1633700553,143.68,6
1633700555,143.73,2
1633700555,143.73,1
1633700556,143.73,2
1633700558,143.71,23
1633700559,143.71,14
1633700559,143.71,1
1633700563,143.7,2
1633700566,143.72,1
1633700567,143.72,13
1633700568,143.72,1
1633700571,143.73,1
1633700573,143.72,3
1633700576,143.71,2
1633700576,143.71,1
1633700579,143.71,2
1633700580,143.7,20
1633700581,143.73,3
1633700582,143.73,2
1633700583,143.7,1
1633700584,143.69,1
1633700587,143.71,5
1633700588,143.69,1
1633700589,143.69,3
1633700602,143.65,1
1633700604,143.65,3
1633700606,143.63,2
1633700607,143.62,1
1633700611,143.65,2
1633700613,143.69,4
1633700621,143.67,1
1633700623,143.7,12
1633700624,143.71,1
1633700628,143.65,5
1633700628,143.65,1
1633700629,143.65,3
1633700629,143.65,1
1633700631,143.65,2
1633700633,143.66,2
1633700633,143.66,3
1633700634,143.66,2
1633700636,143.66,2
1633700636,143.66,1
1633700641,143.53,6
1633700642,143.52,1
1633700644,143.51,6
1633700649,143.52,13
1633700651,143.51,2
1633700652,143.47,3
1633700661,143.46,5
1633700663,143.46,37
1633700663,143.46,1
1633700666,143.46,3
1633700668,143.49,1
1633700671,143.52,1
1633700672,143.49,1
1633700681,143.45,1
1633700684,143.46,1
1633700686,143.43,2
1633700691,143.45,1
1633700696,143.41,1
1633700697,143.41,13
1633700698,143.37,4
1633700699,143.38,2
1633700705,143.37,2
1633700707,143.43,4
1633700708,143.43,14
1633700717,143.4,8
1633700720,143.46,2
1633700721,143.46,1
1633700721,143.46,13
1633700723,143.49,1
1633700726,143.46,3
1633700730,143.47,1
1633700734,143.54,1
1633700737,143.5,1
1633700741,143.49,3
1633700745,143.44,3
1633700746,143.42,1
1633700747,143.43,2
1633700756,143.31,2
1633700756,143.29,1
1633700758,143.29,3
1633700758,143.29,5
1633700759,143.3,1
1633700764,143.35,4
1633700764,143.33,2
1633700765,143.33,1
1633700769,143.26,1
1633700770,143.27,4
1633700770,143.27,1
1633700772,143.27,2
1633700774,143.28,1
1633700777,143.22,5
1633700777,143.22,1
1633700778,143.2,1
1633700779,143.18,2
1633700781,143.19,5
1633700784,143.13,1
1633700789,143.14,1
1633700791,143.16,1
1633700793,143.15,10
1633700794,143.15,2
1633700798,143.1,1
1633700803,143.1,2
1633700804,143.09,10
1633700806,143.08,5
1633700812,143.1,1
1633700815,143.12,1
1633700815,143.12,10
1633700816,143.15,4
1633700817,143.13,1
1633700820,143.12,12
1633700823,143.15,20
1633700825,143.17,4
1633700827,143.2,1
1633700830,143.21,2
1633700831,143.21,1
1633700833,143.24,15
1633700833,143.24,1
1633700834,143.24,2
1633700836,143.26,3
1633700836,143.26,6
1633700840,143.25,4
1633700846,143.26,2
1633700849,143.26,5
1633700849,143.26,30
1633700850,143.26,1
1633700851,143.26,2
1633700854,143.26,5
1633700855,143.26,1
1633700856,143.22,1
1633700857,143.23,2
1633700859,143.26,2
1633700859,143.26,1
1633700861,143.26,1
1633700862,143.25,1
1633700864,143.24,4
1633700864,143.24,1
1633700867,143.26,2
1633700868,143.25,1
1633700869,143.27,2
1633700871,143.26,12
1633700871,143.26,1
1633700878,143.28,1
1633700880,143.29,5
1633700882,143.2,10
1633700882,143.2,17
1633700890,143.15,8
1633700890,143.15,1
1633700898,143.23,1
1633700901,143.23,17
1633700901,143.23,1
1633700902,143.23,5
1633700904,143.2,1
1633700918,143.17,1
1633700920,143.17,20
1633700920,143.18,20
1633700921,143.18,1
1633700921,143.2,2
1633700922,143.2,1
1633700927,143.17,25
1633700928,143.18,2
1633700928,143.18,1
1633700929,143.18,3
1633700930,143.18,1
1633700931,143.18,3
1633700933,143.17,6
1633700937,143.15,3
1633700943,143.24,1
1633700955,143.29,1
1633700968,143.29,10
1633700970,143.29,8
1633700971,143.3,1
1633700972,143.29,2
1633700973,143.24,1
1633700980,143.29,7
1633700983,143.29,1
1633700984,143.27,2
1633700986,143.28,2
1633700989,143.29,3
1633700997,143.38,4
1633701000,143.42,1
1633701002,143.33,3
1633701004,143.39,20
1633701004,143.39,1
1633701006,143.39,1
1633701008,143.4,1
1633701008,143.4,2
1633701014,143.28,54
1633701019,143.19,7
1633701022,143.14,2
1633701022,143.14,1
1633701027,143.12,6
1633701027,143.12,4
1633701028,143.12,14
1633701028,143.12,2
1633701031,143.18,5
1633701034,143.19,1
1633701035,143.21,10
1633701035,143.21,1
1633701040,143.23,2
1633701042,143.21,1
1633701044,143.21,2
1633701051,143.18,1
1633701054,143.19,2
1633701057,143.16,3
1633701058,143.15,1
1633701065,143.17,1
1633701071,143.22,2
1633701078,143.16,1
1633701082,143.24,2
1633701083,143.24,1
1633701084,143.24,1
1633701085,143.25,1
1633701090,143.28,12
1633701092,143.23,5
1633701093,143.23,1
1633701094,143.23,2
1633701095,143.24,1
1633701098,143.26,5
1633701099,143.26,1
1633701099,143.26,10
1633701100,143.24,1
1633701101,143.23,4
1633701104,143.25,1
1633701108,143.24,1
1633701118,143.27,5
1633701119,143.28,1
1633701121,143.32,1
1633701123,143.3,4
1633701125,143.25,1
1633701129,143.23,2
1633701134,143.24,2
1633701135,143.25,1
1633701137,143.2,1
1633701137,143.2,2
1633701143,143.25,1
1633701146,143.27,2
1633701147,143.26,1
1633701149,143.22,4
1633701150,143.22,5
1633701155,143.26,5
1633701157,143.27,6
1633701157,143.27,5
1633701161,143.26,2
1633701165,143.26,5
1633701166,143.27,1
1633701168,143.25,5
1633701171,143.23,1
1633701177,143.21,1
1633701179,143.21,1
1633701183,143.29,5
1633701187,143.28,5
1633701190,143.29,3
1633701191,143.29,6
1633701196,143.22,5
1633701200,143.24,2
1633701206,143.21,3
1633701206,143.21,5
1633701209,143.24,30
1633701212,143.26,6
1633701213,143.24,2
1633701214,143.25,2
1633701218,143.21,1
1633701218,143.21,3
1633701219,143.21,5
1633701220,143.21,10
1633701221,143.21,1
1633701225,143.23,1
1633701229,143.24,5
1633701230,143.24,1
1633701231,143.26,7
1633701231,143.26,1
1633701233,143.26,1
1633701238,143.26,5
1633701240,143.26,1
1633701244,143.17,11
1633701259,143.25,2
1633701265,143.25,1
1633701266,143.24,3
1633701269,143.26,3
1633701282,143.34,1
1633701288,143.35,8
1633701288,143.35,1
1633701293,143.31,10
1633701295,143.31,5
1633701297,143.3,2
1633701302,143.24,4
1633701302,143.24,1
1633701304,143.28,24
1633701305,143.31,17
1633701308,143.37,4
1633701308,143.37,1
1633701310,143.37,18
1633701312,143.33,1
1633701313,143.31,12
1633701318,143.37,4
1633701322,143.37,32
1633701322,143.37,1
1633701326,143.36,2
1633701332,143.35,7
1633701340,143.4,1
1633701341,143.4,2
1633701341,143.4,3
1633701342,143.4,2
1633701344,143.38,4
1633701346,143.43,1
1633701347,143.44,4
1633701347,143.44,2
1633701349,143.43,7
1633701349,143.43,2
1633701350,143.43,1
1633701351,143.44,1
1633701351,143.44,10
1633701353,143.44,1
1633701356,143.44,3
1633701356,143.44,1
1633701358,143.41,1
1633701359,143.41,6
1633701365,143.43,12
1633701366,143.4,20
1633701366,143.4,2
1633701369,143.38,5
1633701372,143.37,2
1633701374,143.37,70
1633701379,143.41,2
1633701386,143.38,1
1633701389,143.38,20
1633701392,143.44,10
1633701394,143.42,32
1633701395,143.43,2
1633701396,143.43,1
1633701397,143.42,21
1633701398,143.42,1
1633701399,143.43,1
1633701400,143.4,1
1633701402,143.4,20
1633701411,143.48,2
1633701413,143.49,10
1633701414,143.51,5
1633701416,143.54,2
1633701417,143.54,5
1633701417,143.54,1
1633701424,143.54,1
1633701433,143.56,1
1633701437,143.55,2
1633701438,143.55,1
1633701442,143.54,17
1633701442,143.54,1
1633701446,143.55,12
1633701449,143.56,2
1633701450,143.56,1
1633701454,143.52,2
1633701454,143.52,1
1633701455,143.52,35
1633701455,143.52,1
1633701458,143.49,5
1633701461,143.49,2
1633701462,143.5,5
1633701462,143.5,1
1633701464,143.49,6
1633701465,143.49,30
1633701465,143.49,4
1633701466,143.49,3
1633701467,143.5,4
1633701468,143.52,5
1633701469,143.52,1
1633701471,143.54,2
1633701471,143.53,1
1633701476,143.54,5
1633701476,143.54,7
1633701477,143.55,4
1633701478,143.54,1
1633701482,143.55,5
1633701484,143.57,3
1633701484,143.57,2
1633701485,143.57,1
1633701486,143.54,23
1633701487,143.54,5
1633701487,143.54,1
1633701491,143.51,2
1633701492,143.51,1
1633701493,143.49,17
1633701495,143.46,1
1633701499,143.41,54
1633701502,143.43,2
1633701502,143.43,1
1633701504,143.42,13
1633701504,143.42,5
1633701505,143.41,10
1633701506,143.41,1
1633701509,143.38,55
1633701511,143.37,5
1633701511,143.35,6
1633701515,143.4,3
1633701517,143.41,5
1633701517,143.41,1
1633701519,143.39,2
1633701520,143.4,3
1633701520,143.4,1
1633701524,143.47,1
1633701529,143.45,1
1633701537,143.46,1
1633701539,143.45,1
1633701544,143.4,2
1633701545,143.4,1
1633701545,143.4,2
1633701546,143.42,2
1633701547,143.43,1
1633701548,143.43,10
1633701551,143.37,5
1633701552,143.37,2
1633701553,143.37,20
1633701553,143.37,2
1633701556,143.33,5
1633701556,143.33,1
1633701557,143.33,3
1633701558,143.33,1
1633701563,143.36,1
1633701564,143.35,1
1633701565,143.35,4
1633701565,143.35,1
1633701566,143.34,1
1633701569,143.32,1
1633701570,143.29,1
1633701571,143.29,3
1633701572,143.29,6
1633701574,143.31,5
1633701575,143.3,2
1633701578,143.26,1
1633701578,143.26,2
1633701579,143.26,7
1633701585,143.21,1
1633701586,143.21,12
1633701589,143.26,7
1633701590,143.28,1
1633701591,143.26,1
1633701593,143.21,1
1633701595,143.2,1
1633701603,143.22,1
1633701606,143.22,1
1633701606,143.2,3
1633701611,143.18,3
1633701614,143.24,2
1633701616,143.2,4
1633701617,143.2,5
1633701617,143.2,1
1633701622,143.26,1
1633701624,143.31,1
1633701625,143.32,2
1633701630,143.35,5
1633701631,143.35,1
1633701631,143.35,3
1633701634,143.36,10
1633701636,143.36,1
1633701639,143.35,1
1633701641,143.38,1
1633701642,143.36,10
1633701648,143.4,1
1633701649,143.38,5
1633701650,143.38,17
1633701655,143.45,1
1633701656,143.46,54
1633701656,143.46,2
1633701659,143.48,20
1633701659,143.49,1
1633701666,143.42,1
1633701670,143.48,1
1633701671,143.5,11
1633701671,143.5,1
1633701673,143.46,1
1633701675,143.5,2
1633701677,143.52,1
1633701679,143.53,1
1633701682,143.53,20
1633701683,143.54,1
1633701686,143.55,2
1633701687,143.54,2
1633701688,143.54,1
1633701690,143.49,1
1633701693,143.45,1
1633701699,143.45,17
1633701702,143.43,30
1633701705,143.43,20
1633701707,143.42,2
1633701708,143.42,1
1633701712,143.45,1
1633701719,143.4,7
1633701729,143.37,1
1633701733,143.4,10
1633701737,143.43,10
1633701737,143.43,1
1633701745,143.46,2
1633701747,143.48,1
1633701749,143.46,2
1633701750,143.46,19
1633701750,143.46,1
1633701751,143.48,10
1633701752,143.48,1
1633701754,143.53,1
1633701755,143.53,2
1633701757,143.53,14
1633701758,143.5,5
1633701760,143.5,1
1633701762,143.51,11
1633701765,143.54,2
1633701765,143.54,1
1633701770,143.52,1
1633701771,143.52,2
1633701772,143.52,1
1633701772,143.52,2
1633701773,143.51,1
1633701774,143.49,3
1633701775,143.48,1
1633701776,143.47,5
1633701778,143.48,5
1633701779,143.48,1
1633701782,143.49,3
1633701785,143.49,3
1633701788,143.43,1
1633701790,143.41,1
1633701792,143.43,17
1633701794,143.44,5
1633701795,143.44,1
1633701797,143.45,2
1633701799,143.43,3
1633701799,143.43,1
1633701800,143.45,1
1633701801,143.45,3
1633701801,143.46,11
1633701806,143.46,7
1633701813,143.46,5
1633701815,143.44,1
1633701821,143.4,7
1633701823,143.41,4
1633701824,143.41,3
1633701830,143.4,5
1633701835,143.44,2
1633701842,143.39,2
1633701844,143.35,4
1633701844,143.35,1
1633701845,143.35,1
1633701848,143.35,5
1633701849,143.35,1
1633701855,143.35,3
1633701856,143.35,1
1633701859,143.37,1
1633701871,143.4,2
1633701872,143.38,1
1633701878,143.42,1
1633701879,143.42,13
1633701881,143.46,2
1633701882,143.46,5
1633701882,143.46,1
1633701883,143.46,2
1633701886,143.5,1
1633701887,143.49,3
1633701889,143.48,30
1633701889,143.48,1
1633701890,143.48,3
1633701890,143.48,1
1633701891,143.48,50
1633701895,143.48,1
1633701902,143.51,1
1633701905,143.46,1
1633701908,143.47,1
1633701911,143.47,5
1633701913,143.43,10
1633701915,143.43,2
1633701919,143.37,5
1633701919,143.37,1
1633701921,143.39,1
1633701922,143.38,1
1633701925,143.42,5
1633701926,143.43,8
1633701928,143.48,1
1633701929,143.49,23
