T,p,q
1633699801,211.28,1
1633699807,211.77,4
1633699808,211.77,1
1633699814,211.79,2
1633699819,212.01,1
1633699823,211.74,20
1633699846,211.69,10
1633699856,210.93,2
1633699870,211.38,1
1633699874,211.23,9
1633699888,211.4,11
1633699895,211.82,1
1633699896,211.82,30
1633699911,211.51,3
1633699922,211.74,1
1633699931,211.48,5
1633699935,211.21,1
1633699946,211.62,1
1633699980,211.44,1
1633699986,211.18,1
1633699991,211.41,1
1633699997,211.5,1
1633700008,211.39,2
1633700022,211.1,1
1633700025,211.11,3
1633700037,211.02,1
1633700045,210.64,1
1633700050,210.73,1
1633700080,210.32,2
1633700081,210.29,5
1633700082,210.29,1
1633700083,210.28,2
1633700095,210.25,1
1633700100,210.15,1
1633700101,210.16,3
1633700106,210.07,2
1633700112,210.16,2
1633700116,210,1
1633700118,210.07,3
1633700120,210.15,4
1633700138,209.96,1
1633700151,209.85,2
1633700152,209.82,1
1633700161,209.9,1
1633700163,209.97,20
1633700168,209.9,2
1633700174,209.85,1
1633700181,209.8,1
1633700186,209.57,5
1633700189,209.63,1
1633700194,209.57,2
1633700195,209.59,1
1633700199,209.71,20
1633700199,209.71,1
1633700213,209.49,2
1633700219,209.48,3
1633700227,209.59,10
1633700234,209.68,1
1633700239,209.65,1
1633700248,209.6,1
1633700258,209.64,1
1633700264,209.49,1
1633700268,209.43,4
1633700269,209.43,1
1633700271,209.42,1
1633700272,209.5,1
1633700273,209.51,5
1633700285,209.56,1
1633700285,209.57,1
1633700289,209.56,4
1633700301,209.61,2
1633700321,209.83,1
1633700328,209.85,1
1633700346,209.81,1
1633700352,209.7,2
1633700361,209.79,1
1633700365,209.75,1
1633700369,209.82,2
1633700372,209.83,1
1633700377,209.85,3
1633700382,209.92,1
1633700387,210.03,1
1633700390,209.95,1
1633700390,209.99,3
1633700391,209.99,1
1633700396,209.93,1
1633700402,210.15,1
1633700411,210.16,1
1633700412,210.13,1
1633700414,210.3,3
1633700422,210.3,4
1633700422,210.3,1
1633700424,210.35,3
1633700425,210.35,1
1633700433,210.4,1
1633700438,210.58,4
1633700443,210.5,1
1633700444,210.56,6
1633700447,210.54,1
1633700448,210.54,2
1633700449,210.5,1
1633700456,210.57,1
1633700457,210.6,1
1633700457,210.55,1
1633700464,210.51,1
1633700469,210.4,1
1633700469,210.41,1
1633700471,210.45,9
1633700477,210.48,1
1633700479,210.49,19
1633700479,210.49,1
1633700481,210.46,5
1633700515,210.88,2
1633700515,210.88,1
1633700517,210.88,4
1633700525,211,2
1633700529,210.89,2
1633700532,210.86,5
1633700543,210.85,10
1633700550,210.82,3
1633700553,210.81,1
1633700560,210.74,10
1633700568,210.86,1
1633700571,210.91,20
1633700573,210.87,1
1633700575,210.76,1
1633700576,210.78,1
1633700604,210.76,1
1633700606,210.75,25
1633700613,210.81,7
1633700630,210.84,2
1633700631,210.84,1
1633700654,210.61,1
1633700657,210.54,6
1633700657,210.6,1
1633700667,210.58,5
1633700667,210.58,1
1633700686,210.25,7
1633700691,210.32,1
1633700691,210.32,2
1633700692,210.4,8
1633700735,210.59,2
1633700746,210.37,10
1633700756,210,1
1633700773,209.87,1
1633700780,209.67,1
1633700787,209.46,2
1633700790,209.46,1
1633700792,209.49,5
1633700795,209.4,4
1633700798,209.4,9
1633700802,209.34,1
1633700812,209.39,1
1633700817,209.47,1
1633700818,209.46,1
1633700828,209.83,5
