T,p,q
1633699804,795.43,3
1633699805,795.43,2
1633699805,794.98,1
1633699807,794.62,1
1633699811,794.73,1
1633699816,794.92,1
1633699839,794.24,2
1633699842,795.12,1
1633699848,794.26,1
1633699871,794.41,10
1633699875,795,2
1633699894,795,2
1633699898,795,4
1633699904,793.86,1
1633699907,793.96,9
1633699907,793.96,9
1633699908,794.29,9
1633699911,794.67,7
1633699911,794.67,7
1633699915,794.78,5
1633699915,794.78,1
1633699926,794.07,1
1633699927,794.34,1
1633699949,794.28,1
1633699966,794,3
1633699975,793,1
1633699976,793,3
1633699987,793.5,2
1633699991,793.76,1
1633699996,793.52,1
1633700011,793.7,2
1633700014,793.88,1
1633700017,793.97,7
1633700031,793.49,78
1633700042,792.9,1
1633700053,791.3,3
1633700066,791.22,1
1633700070,790.97,2
1633700077,791.46,7
1633700085,791.94,3
1633700092,791.06,2
1633700124,790.76,2
1633700138,791.09,2
1633700141,790.9,1
1633700147,790.89,1
1633700158,789.75,5
1633700178,789.12,15
1633700181,789.21,5
1633700183,789.15,1
1633700188,789.65,15
1633700196,789.14,2
1633700204,788.33,1
1633700210,788.49,4
1633700221,788.01,1
1633700224,788.85,13
1633700224,788.85,13
1633700227,788.51,2
1633700237,788.27,1
1633700247,787.62,4
1633700264,787.32,5
1633700266,787.2,1
1633700268,787.03,5
1633700269,786.99,1
1633700273,786.87,1
1633700274,786.81,4
1633700278,786.74,5
1633700282,786.99,10
1633700284,786.96,1
1633700307,787.64,18
1633700318,787.57,10
1633700319,787.33,3
1633700357,787.38,1
1633700357,787.04,6
1633700359,787,1
1633700361,787.4,3
1633700364,786.89,1
1633700364,786.89,1
1633700371,787.21,1
1633700393,787.57,1
1633700409,787.6,3
1633700428,788.81,1
1633700435,788.63,1
1633700441,788.68,2
1633700441,788.49,1
1633700467,788,1
1633700495,787.6,2
1633700500,787.6,1
1633700500,787.6,1
1633700515,788.38,3
1633700531,788.27,1
1633700538,787.7,5
1633700541,787.84,1
1633700549,787.47,1
1633700572,787.75,2
1633700574,787.41,1
1633700591,787.2,1
1633700594,787.16,1
1633700594,787.16,1
1633700599,787.06,2
1633700599,787.06,1
1633700607,787.02,2
1633700642,787.7,1
1633700644,787,2
1633700648,786.99,2
1633700654,786.04,1
1633700658,786.09,3
1633700662,785.75,6
1633700663,785.9,1
1633700667,785.99,1
1633700668,785.92,4
1633700696,785.77,9
1633700697,785.77,1
1633700700,785.82,3
1633700704,786.07,20
1633700759,786.02,2
1633700759,786.12,1
1633700762,786.42,1
1633700771,785.75,2
1633700778,785.5,1
1633700850,785.78,4
1633700870,785.39,1
1633700870,785.39,2
1633700876,785.75,2
1633700890,784.65,1
1633700892,784.5,1
1633700901,785,2
1633700902,785,1
1633700902,784.88,1
1633700914,784.88,1
1633700916,784.72,50
1633700924,784.8,5
1633700943,784.89,1
1633700949,785.11,3
1633700951,784.99,1
1633700953,785.13,2
1633700963,785.4,1
1633700974,785.6,1
1633700978,786,2
1633700978,785.85,1
1633700982,786,2
1633700982,785.89,1
1633700993,786.5,1
1633700995,786.65,1
1633701005,786.72,2
1633701006,786.84,1
1633701014,786.24,10
1633701028,785.85,2
1633701049,786,1
1633701058,785.68,2
1633701074,786.54,2
1633701096,786.95,1
1633701101,787,1
1633701114,787.02,1
1633701159,785.85,1
1633701161,785.86,1
1633701168,785.74,2
1633701171,785.71,2
1633701179,785.72,1
1633701181,785.94,1
1633701193,785.56,6
1633701216,784.76,20
1633701220,784.65,2
1633701243,784.75,1
1633701254,784.67,2
1633701259,785.16,1
1633701273,785.21,7
1633701291,785.31,3
1633701308,786,2
1633701308,786,1
1633701317,786.07,1
1633701331,785.22,2
1633701338,785.29,2
1633701345,785,1
1633701349,785.1,1
1633701367,784.76,1
1633701368,784.64,1
1633701368,784.6,3
1633701369,784.6,2
1633701370,784.5,2
1633701374,784.31,1
1633701379,784.24,5
1633701383,783.77,1
1633701397,784.27,5
1633701397,784.27,1
1633701399,784.2,1
1633701450,785,1
1633701453,785.03,3
1633701460,784.59,1
1633701461,784.73,1
1633701466,784.57,2
1633701515,784.49,2
1633701524,784.42,1
1633701546,784.69,2
1633701548,784.69,27
1633701553,784.53,1
1633701556,784.28,1
1633701562,784.16,1
1633701565,784.23,1
1633701588,783.78,1
1633701589,783.78,2
1633701598,783.45,1
1633701613,782.89,3
1633701613,783.09,1
1633701617,783.36,3
1633701618,783.36,2
1633701643,784.74,2
1633701665,785,7
1633701668,785,2
1633701674,785.35,3
1633701678,785.73,1
1633701681,785.7,1
